126 105
-0.393821 0.235516 1
-0.393821 0.243516 1
-0.393821 0.251516 1
-0.393821 0.259516 1
-0.393821 0.267516 1
-0.393821 0.275516 0
-0.393821 0.283516 0
-0.393821 0.291516 1
-0.393821 0.299516 0
-0.393821 0.307516 1
-0.393821 0.315516 1
-0.393821 0.323516 1
-0.393821 0.331516 1
-0.393821 0.339516 1
-0.393821 0.347516 1
-0.393821 0.355516 1
-0.393821 0.363516 0
-0.393821 0.371516 0
-0.393821 0.379516 1
-0.393821 0.387516 1
-0.393821 0.395516 1
-0.393821 0.403516 1
-0.393821 0.411516 0
-0.393821 0.419516 1
-0.393821 0.427516 1
-0.393821 0.435516 0
-0.393821 0.443516 1
-0.393821 0.451516 1
-0.393821 0.459516 1
-0.393821 0.467516 0
-0.393821 0.475516 1
-0.393821 0.483516 1
-0.393821 0.491516 0
-0.393821 0.499516 1
-0.393821 0.507516 0
-0.393821 0.515516 1
-0.393821 0.523516 1
-0.393821 0.531516 0
-0.393821 0.539516 0
-0.393821 0.547516 1
-0.393821 0.555516 0
-0.393821 0.563516 1
-0.393821 0.571516 1
-0.393821 0.579516 1
-0.393821 0.587516 1
-0.393821 0.595516 1
-0.393821 0.603516 1
-0.393821 0.611516 0
-0.393821 0.619516 1
-0.393821 0.627516 1
-0.393821 0.635516 0
-0.393821 0.643516 0
-0.393821 0.651516 1
-0.393821 0.659516 0
-0.393821 0.667516 1
-0.393821 0.675516 0
-0.393821 0.683516 1
-0.393821 0.691516 1
-0.393821 0.699516 0
-0.393821 0.707516 1
-0.393821 0.715516 1
-0.393821 0.723516 1
-0.393821 0.731516 1
-0.393821 0.739516 1
-0.393821 0.747516 1
-0.393821 0.755516 1
-0.393821 0.763516 0
-0.393821 0.771516 1
-0.393821 0.779516 1
-0.393821 0.787516 1
-0.393821 0.795516 1
-0.393821 0.803516 1
-0.393821 0.811516 1
-0.393821 0.819516 0
-0.393821 0.827516 1
-0.393821 0.835516 1
-0.393821 0.843516 1
-0.393821 0.851516 1
-0.393821 0.859516 1
-0.393821 0.867516 0
-0.393821 0.875516 1
-0.393821 0.883516 1
-0.393821 0.891516 1
-0.393821 0.899516 0
-0.393821 0.907516 0
-0.393821 0.915516 0
-0.393821 0.923516 0
-0.393821 0.931516 0
-0.393821 0.939516 0
-0.385821 0.107516 0
-0.385821 0.115516 0
-0.385821 0.123516 0
-0.385821 0.131516 0
-0.385821 0.139516 0
-0.385821 0.147516 0
-0.385821 0.155516 0
-0.385821 0.163516 0
-0.385821 0.171516 1
-0.385821 0.179516 1
-0.385821 0.187516 1
-0.385821 0.195516 1
-0.385821 0.203516 1
-0.385821 0.211516 1
-0.385821 0.219516 1
-0.385821 0.227516 1
-0.385821 0.235516 1
-0.385821 0.243516 1
-0.385821 0.251516 1
-0.385821 0.259516 1
-0.385821 0.267516 1
-0.385821 0.275516 1
-0.385821 0.283516 1
-0.385821 0.291516 0
-0.385821 0.299516 1
-0.385821 0.307516 1
-0.385821 0.315516 1
-0.385821 0.323516 0
-0.385821 0.331516 1
-0.385821 0.339516 0
-0.385821 0.347516 1
-0.385821 0.355516 1
-0.385821 0.363516 0
-0.385821 0.371516 1
-0.385821 0.379516 1
-0.385821 0.387516 1
-0.385821 0.395516 1
-0.385821 0.403516 1
-0.385821 0.411516 1
-0.385821 0.419516 1
-0.385821 0.427516 1
-0.385821 0.435516 1
-0.385821 0.443516 1
-0.385821 0.451516 1
-0.385821 0.459516 1
-0.385821 0.467516 0
-0.385821 0.475516 1
-0.385821 0.483516 1
-0.385821 0.491516 1
-0.385821 0.499516 1
-0.385821 0.507516 1
-0.385821 0.515516 1
-0.385821 0.523516 1
-0.385821 0.531516 1
-0.385821 0.539516 0
-0.385821 0.547516 1
-0.385821 0.555516 1
-0.385821 0.563516 1
-0.385821 0.571516 1
-0.385821 0.579516 1
-0.385821 0.587516 1
-0.385821 0.595516 0
-0.385821 0.603516 1
-0.385821 0.611516 1
-0.385821 0.619516 1
-0.385821 0.627516 1
-0.385821 0.635516 0
-0.385821 0.643516 1
-0.385821 0.651516 0
-0.385821 0.659516 0
-0.385821 0.667516 0
-0.385821 0.675516 1
-0.385821 0.683516 1
-0.385821 0.691516 1
-0.385821 0.699516 1
-0.385821 0.707516 1
-0.385821 0.715516 1
-0.385821 0.723516 0
-0.385821 0.731516 1
-0.385821 0.739516 1
-0.385821 0.747516 1
-0.385821 0.755516 1
-0.385821 0.763516 1
-0.385821 0.771516 1
-0.385821 0.779516 0
-0.385821 0.787516 1
-0.385821 0.795516 1
-0.385821 0.803516 1
-0.385821 0.811516 1
-0.385821 0.819516 1
-0.385821 0.827516 0
-0.385821 0.835516 1
-0.385821 0.843516 1
-0.385821 0.851516 1
-0.385821 0.859516 1
-0.385821 0.867516 1
-0.385821 0.875516 1
-0.385821 0.883516 1
-0.385821 0.891516 1
-0.385821 0.899516 0
-0.385821 0.907516 0
-0.385821 0.915516 0
-0.385821 0.923516 0
-0.385821 0.931516 0
-0.385821 0.939516 0
-0.377821 0.107516 0
-0.377821 0.115516 0
-0.377821 0.123516 0
-0.377821 0.131516 0
-0.377821 0.139516 0
-0.377821 0.147516 0
-0.377821 0.155516 0
-0.377821 0.163516 0
-0.377821 0.171516 1
-0.377821 0.179516 1
-0.377821 0.187516 1
-0.377821 0.195516 1
-0.377821 0.203516 1
-0.377821 0.211516 1
-0.377821 0.219516 1
-0.377821 0.227516 1
-0.377821 0.235516 1
-0.377821 0.243516 1
-0.377821 0.251516 1
-0.377821 0.259516 1
-0.377821 0.267516 1
-0.377821 0.275516 1
-0.377821 0.283516 1
-0.377821 0.291516 1
-0.377821 0.299516 1
-0.377821 0.307516 1
-0.377821 0.315516 1
-0.377821 0.323516 1
-0.377821 0.331516 0
-0.377821 0.339516 1
-0.377821 0.347516 1
-0.377821 0.355516 1
-0.377821 0.363516 1
-0.377821 0.371516 1
-0.377821 0.379516 0
-0.377821 0.387516 1
-0.377821 0.395516 1
-0.377821 0.403516 1
-0.377821 0.411516 1
-0.377821 0.419516 1
-0.377821 0.427516 0
-0.377821 0.435516 1
-0.377821 0.443516 1
-0.377821 0.451516 1
-0.377821 0.459516 1
-0.377821 0.467516 1
-0.377821 0.475516 1
-0.377821 0.483516 0
-0.377821 0.491516 0
-0.377821 0.499516 0
-0.377821 0.507516 1
-0.377821 0.515516 1
-0.377821 0.523516 1
-0.377821 0.531516 1
-0.377821 0.539516 0
-0.377821 0.547516 1
-0.377821 0.555516 1
-0.377821 0.563516 1
-0.377821 0.571516 1
-0.377821 0.579516 1
-0.377821 0.587516 0
-0.377821 0.595516 0
-0.377821 0.603516 1
-0.377821 0.611516 0
-0.377821 0.619516 0
-0.377821 0.627516 1
-0.377821 0.635516 0
-0.377821 0.643516 1
-0.377821 0.651516 1
-0.377821 0.659516 1
-0.377821 0.667516 1
-0.377821 0.675516 1
-0.377821 0.683516 1
-0.377821 0.691516 0
-0.377821 0.699516 1
-0.377821 0.707516 0
-0.377821 0.715516 1
-0.377821 0.723516 0
-0.377821 0.731516 1
-0.377821 0.739516 1
-0.377821 0.747516 0
-0.377821 0.755516 1
-0.377821 0.763516 1
-0.377821 0.771516 1
-0.377821 0.779516 1
-0.377821 0.787516 1
-0.377821 0.795516 0
-0.377821 0.803516 1
-0.377821 0.811516 1
-0.377821 0.819516 1
-0.377821 0.827516 0
-0.377821 0.835516 1
-0.377821 0.843516 1
-0.377821 0.851516 1
-0.377821 0.859516 1
-0.377821 0.867516 1
-0.377821 0.875516 0
-0.377821 0.883516 1
-0.377821 0.891516 0
-0.377821 0.899516 0
-0.377821 0.907516 0
-0.377821 0.915516 0
-0.377821 0.923516 0
-0.377821 0.931516 0
-0.377821 0.939516 0
-0.369821 0.107516 0
-0.369821 0.115516 0
-0.369821 0.123516 0
-0.369821 0.131516 0
-0.369821 0.139516 0
-0.369821 0.147516 0
-0.369821 0.155516 0
-0.369821 0.163516 0
-0.369821 0.171516 1
-0.369821 0.179516 1
-0.369821 0.187516 1
-0.369821 0.195516 1
-0.369821 0.203516 1
-0.369821 0.211516 1
-0.369821 0.219516 1
-0.369821 0.227516 1
-0.369821 0.235516 1
-0.369821 0.243516 1
-0.369821 0.251516 1
-0.369821 0.259516 0
-0.369821 0.267516 1
-0.369821 0.275516 1
-0.369821 0.283516 1
-0.369821 0.291516 1
-0.369821 0.299516 1
-0.369821 0.307516 0
-0.369821 0.315516 1
-0.369821 0.323516 1
-0.369821 0.331516 1
-0.369821 0.339516 1
-0.369821 0.347516 1
-0.369821 0.355516 1
-0.369821 0.363516 0
-0.369821 0.371516 1
-0.369821 0.379516 0
-0.369821 0.387516 1
-0.369821 0.395516 1
-0.369821 0.403516 0
-0.369821 0.411516 1
-0.369821 0.419516 1
-0.369821 0.427516 1
-0.369821 0.435516 1
-0.369821 0.443516 0
-0.369821 0.451516 0
-0.369821 0.459516 1
-0.369821 0.467516 1
-0.369821 0.475516 1
-0.369821 0.483516 1
-0.369821 0.491516 1
-0.369821 0.499516 0
-0.369821 0.507516 0
-0.369821 0.515516 1
-0.369821 0.523516 1
-0.369821 0.531516 1
-0.369821 0.539516 1
-0.369821 0.547516 0
-0.369821 0.555516 0
-0.369821 0.563516 1
-0.369821 0.571516 1
-0.369821 0.579516 0
-0.369821 0.587516 0
-0.369821 0.595516 1
-0.369821 0.603516 1
-0.369821 0.611516 1
-0.369821 0.619516 0
-0.369821 0.627516 1
-0.369821 0.635516 1
-0.369821 0.643516 1
-0.369821 0.651516 1
-0.369821 0.659516 1
-0.369821 0.667516 1
-0.369821 0.675516 1
-0.369821 0.683516 1
-0.369821 0.691516 0
-0.369821 0.699516 1
-0.369821 0.707516 1
-0.369821 0.715516 1
-0.369821 0.723516 1
-0.369821 0.731516 1
-0.369821 0.739516 1
-0.369821 0.747516 0
-0.369821 0.755516 1
-0.369821 0.763516 1
-0.369821 0.771516 1
-0.369821 0.779516 0
-0.369821 0.787516 1
-0.369821 0.795516 1
-0.369821 0.803516 1
-0.369821 0.811516 1
-0.369821 0.819516 1
-0.369821 0.827516 0
-0.369821 0.835516 1
-0.369821 0.843516 1
-0.369821 0.851516 1
-0.369821 0.859516 1
-0.369821 0.867516 1
-0.369821 0.875516 1
-0.369821 0.883516 1
-0.369821 0.891516 1
-0.369821 0.899516 1
-0.369821 0.907516 0
-0.369821 0.915516 0
-0.369821 0.923516 0
-0.369821 0.931516 0
-0.369821 0.939516 0
-0.361821 0.107516 0
-0.361821 0.115516 0
-0.361821 0.123516 0
-0.361821 0.131516 0
-0.361821 0.139516 0
-0.361821 0.147516 0
-0.361821 0.155516 0
-0.361821 0.163516 0
-0.361821 0.171516 1
-0.361821 0.179516 1
-0.361821 0.187516 1
-0.361821 0.195516 1
-0.361821 0.203516 1
-0.361821 0.211516 0
-0.361821 0.219516 0
-0.361821 0.227516 1
-0.361821 0.235516 1
-0.361821 0.243516 1
-0.361821 0.251516 1
-0.361821 0.259516 1
-0.361821 0.267516 0
-0.361821 0.275516 0
-0.361821 0.283516 1
-0.361821 0.291516 1
-0.361821 0.299516 1
-0.361821 0.307516 1
-0.361821 0.315516 0
-0.361821 0.323516 1
-0.361821 0.331516 1
-0.361821 0.339516 1
-0.361821 0.347516 0
-0.361821 0.355516 1
-0.361821 0.363516 0
-0.361821 0.371516 1
-0.361821 0.379516 0
-0.361821 0.387516 1
-0.361821 0.395516 0
-0.361821 0.403516 1
-0.361821 0.411516 1
-0.361821 0.419516 1
-0.361821 0.427516 1
-0.361821 0.435516 1
-0.361821 0.443516 1
-0.361821 0.451516 1
-0.361821 0.459516 1
-0.361821 0.467516 0
-0.361821 0.475516 0
-0.361821 0.483516 1
-0.361821 0.491516 1
-0.361821 0.499516 1
-0.361821 0.507516 1
-0.361821 0.515516 1
-0.361821 0.523516 1
-0.361821 0.531516 1
-0.361821 0.539516 0
-0.361821 0.547516 1
-0.361821 0.555516 1
-0.361821 0.563516 1
-0.361821 0.571516 1
-0.361821 0.579516 1
-0.361821 0.587516 0
-0.361821 0.595516 1
-0.361821 0.603516 1
-0.361821 0.611516 1
-0.361821 0.619516 1
-0.361821 0.627516 1
-0.361821 0.635516 1
-0.361821 0.643516 0
-0.361821 0.651516 1
-0.361821 0.659516 1
-0.361821 0.667516 0
-0.361821 0.675516 1
-0.361821 0.683516 1
-0.361821 0.691516 1
-0.361821 0.699516 1
-0.361821 0.707516 1
-0.361821 0.715516 1
-0.361821 0.723516 1
-0.361821 0.731516 1
-0.361821 0.739516 1
-0.361821 0.747516 1
-0.361821 0.755516 0
-0.361821 0.763516 1
-0.361821 0.771516 1
-0.361821 0.779516 1
-0.361821 0.787516 1
-0.361821 0.795516 1
-0.361821 0.803516 0
-0.361821 0.811516 1
-0.361821 0.819516 1
-0.361821 0.827516 0
-0.361821 0.835516 1
-0.361821 0.843516 0
-0.361821 0.851516 1
-0.361821 0.859516 1
-0.361821 0.867516 1
-0.361821 0.875516 1
-0.361821 0.883516 1
-0.361821 0.891516 0
-0.361821 0.899516 0
-0.361821 0.907516 0
-0.361821 0.915516 0
-0.361821 0.923516 0
-0.361821 0.931516 0
-0.361821 0.939516 0
-0.353821 0.107516 0
-0.353821 0.115516 0
-0.353821 0.123516 0
-0.353821 0.131516 0
-0.353821 0.139516 0
-0.353821 0.147516 0
-0.353821 0.155516 0
-0.353821 0.163516 0
-0.353821 0.171516 1
-0.353821 0.179516 0
-0.353821 0.187516 1
-0.353821 0.195516 1
-0.353821 0.203516 1
-0.353821 0.211516 1
-0.353821 0.219516 1
-0.353821 0.227516 1
-0.353821 0.235516 1
-0.353821 0.243516 1
-0.353821 0.251516 1
-0.353821 0.259516 1
-0.353821 0.267516 1
-0.353821 0.275516 1
-0.353821 0.283516 1
-0.353821 0.291516 1
-0.353821 0.299516 1
-0.353821 0.307516 1
-0.353821 0.315516 1
-0.353821 0.323516 1
-0.353821 0.331516 1
-0.353821 0.339516 1
-0.353821 0.347516 1
-0.353821 0.355516 1
-0.353821 0.363516 0
-0.353821 0.371516 1
-0.353821 0.379516 0
-0.353821 0.387516 1
-0.353821 0.395516 1
-0.353821 0.403516 1
-0.353821 0.411516 1
-0.353821 0.419516 1
-0.353821 0.427516 1
-0.353821 0.435516 1
-0.353821 0.443516 1
-0.353821 0.451516 1
-0.353821 0.459516 1
-0.353821 0.467516 1
-0.353821 0.475516 1
-0.353821 0.483516 0
-0.353821 0.491516 1
-0.353821 0.499516 1
-0.353821 0.507516 0
-0.353821 0.515516 1
-0.353821 0.523516 1
-0.353821 0.531516 1
-0.353821 0.539516 0
-0.353821 0.547516 1
-0.353821 0.555516 1
-0.353821 0.563516 1
-0.353821 0.571516 1
-0.353821 0.579516 0
-0.353821 0.587516 1
-0.353821 0.595516 0
-0.353821 0.603516 0
-0.353821 0.611516 1
-0.353821 0.619516 1
-0.353821 0.627516 1
-0.353821 0.635516 0
-0.353821 0.643516 1
-0.353821 0.651516 1
-0.353821 0.659516 0
-0.353821 0.667516 1
-0.353821 0.675516 1
-0.353821 0.683516 0
-0.353821 0.691516 1
-0.353821 0.699516 1
-0.353821 0.707516 1
-0.353821 0.715516 1
-0.353821 0.723516 1
-0.353821 0.731516 1
-0.353821 0.739516 1
-0.353821 0.747516 0
-0.353821 0.755516 1
-0.353821 0.763516 1
-0.353821 0.771516 1
-0.353821 0.779516 0
-0.353821 0.787516 1
-0.353821 0.795516 1
-0.353821 0.803516 1
-0.353821 0.811516 1
-0.353821 0.819516 1
-0.353821 0.827516 1
-0.353821 0.835516 1
-0.353821 0.843516 1
-0.353821 0.851516 0
-0.353821 0.859516 1
-0.353821 0.867516 1
-0.353821 0.875516 1
-0.353821 0.883516 1
-0.353821 0.891516 1
-0.353821 0.899516 0
-0.353821 0.907516 0
-0.353821 0.915516 0
-0.353821 0.923516 0
-0.353821 0.931516 0
-0.353821 0.939516 0
-0.345821 0.107516 0
-0.345821 0.115516 0
-0.345821 0.123516 0
-0.345821 0.131516 0
-0.345821 0.139516 0
-0.345821 0.147516 0
-0.345821 0.155516 0
-0.345821 0.163516 0
-0.345821 0.171516 1
-0.345821 0.179516 1
-0.345821 0.187516 1
-0.345821 0.195516 1
-0.345821 0.203516 1
-0.345821 0.211516 1
-0.345821 0.219516 1
-0.345821 0.227516 0
-0.345821 0.235516 1
-0.345821 0.243516 1
-0.345821 0.251516 1
-0.345821 0.259516 1
-0.345821 0.267516 1
-0.345821 0.275516 1
-0.345821 0.283516 0
-0.345821 0.291516 1
-0.345821 0.299516 1
-0.345821 0.307516 1
-0.345821 0.315516 1
-0.345821 0.323516 0
-0.345821 0.331516 1
-0.345821 0.339516 1
-0.345821 0.347516 1
-0.345821 0.355516 1
-0.345821 0.363516 1
-0.345821 0.371516 1
-0.345821 0.379516 0
-0.345821 0.387516 0
-0.345821 0.395516 1
-0.345821 0.403516 1
-0.345821 0.411516 0
-0.345821 0.419516 1
-0.345821 0.427516 1
-0.345821 0.435516 1
-0.345821 0.443516 1
-0.345821 0.451516 1
-0.345821 0.459516 1
-0.345821 0.467516 1
-0.345821 0.475516 1
-0.345821 0.483516 0
-0.345821 0.491516 0
-0.345821 0.499516 1
-0.345821 0.507516 0
-0.345821 0.515516 1
-0.345821 0.523516 1
-0.345821 0.531516 1
-0.345821 0.539516 0
-0.345821 0.547516 1
-0.345821 0.555516 0
-0.345821 0.563516 1
-0.345821 0.571516 1
-0.345821 0.579516 1
-0.345821 0.587516 1
-0.345821 0.595516 0
-0.345821 0.603516 1
-0.345821 0.611516 1
-0.345821 0.619516 0
-0.345821 0.627516 1
-0.345821 0.635516 0
-0.345821 0.643516 0
-0.345821 0.651516 1
-0.345821 0.659516 1
-0.345821 0.667516 1
-0.345821 0.675516 1
-0.345821 0.683516 1
-0.345821 0.691516 0
-0.345821 0.699516 1
-0.345821 0.707516 1
-0.345821 0.715516 1
-0.345821 0.723516 1
-0.345821 0.731516 1
-0.345821 0.739516 1
-0.345821 0.747516 1
-0.345821 0.755516 1
-0.345821 0.763516 1
-0.345821 0.771516 1
-0.345821 0.779516 0
-0.345821 0.787516 0
-0.345821 0.795516 1
-0.345821 0.803516 0
-0.345821 0.811516 0
-0.345821 0.819516 1
-0.345821 0.827516 0
-0.345821 0.835516 1
-0.345821 0.843516 1
-0.345821 0.851516 1
-0.345821 0.859516 1
-0.345821 0.867516 1
-0.345821 0.875516 1
-0.345821 0.883516 1
-0.345821 0.891516 1
-0.345821 0.899516 0
-0.345821 0.907516 0
-0.345821 0.915516 0
-0.345821 0.923516 0
-0.345821 0.931516 0
-0.345821 0.939516 0
-0.337821 0.107516 0
-0.337821 0.115516 0
-0.337821 0.123516 0
-0.337821 0.131516 0
-0.337821 0.139516 0
-0.337821 0.147516 0
-0.337821 0.155516 0
-0.337821 0.163516 0
-0.337821 0.171516 1
-0.337821 0.179516 1
-0.337821 0.187516 1
-0.337821 0.195516 1
-0.337821 0.203516 1
-0.337821 0.211516 0
-0.337821 0.219516 1
-0.337821 0.227516 1
-0.337821 0.235516 0
-0.337821 0.243516 1
-0.337821 0.251516 1
-0.337821 0.259516 0
-0.337821 0.267516 1
-0.337821 0.275516 1
-0.337821 0.283516 1
-0.337821 0.291516 1
-0.337821 0.299516 1
-0.337821 0.307516 1
-0.337821 0.315516 1
-0.337821 0.323516 1
-0.337821 0.331516 0
-0.337821 0.339516 1
-0.337821 0.347516 1
-0.337821 0.355516 1
-0.337821 0.363516 1
-0.337821 0.371516 1
-0.337821 0.379516 1
-0.337821 0.387516 1
-0.337821 0.395516 0
-0.337821 0.403516 1
-0.337821 0.411516 1
-0.337821 0.419516 0
-0.337821 0.427516 1
-0.337821 0.435516 1
-0.337821 0.443516 1
-0.337821 0.451516 1
-0.337821 0.459516 1
-0.337821 0.467516 0
-0.337821 0.475516 1
-0.337821 0.483516 1
-0.337821 0.491516 1
-0.337821 0.499516 0
-0.337821 0.507516 0
-0.337821 0.515516 1
-0.337821 0.523516 1
-0.337821 0.531516 1
-0.337821 0.539516 0
-0.337821 0.547516 0
-0.337821 0.555516 1
-0.337821 0.563516 1
-0.337821 0.571516 1
-0.337821 0.579516 1
-0.337821 0.587516 1
-0.337821 0.595516 1
-0.337821 0.603516 1
-0.337821 0.611516 0
-0.337821 0.619516 1
-0.337821 0.627516 1
-0.337821 0.635516 0
-0.337821 0.643516 1
-0.337821 0.651516 0
-0.337821 0.659516 1
-0.337821 0.667516 0
-0.337821 0.675516 1
-0.337821 0.683516 0
-0.337821 0.691516 1
-0.337821 0.699516 1
-0.337821 0.707516 0
-0.337821 0.715516 1
-0.337821 0.723516 0
-0.337821 0.731516 1
-0.337821 0.739516 1
-0.337821 0.747516 1
-0.337821 0.755516 1
-0.337821 0.763516 1
-0.337821 0.771516 1
-0.337821 0.779516 0
-0.337821 0.787516 0
-0.337821 0.795516 0
-0.337821 0.803516 1
-0.337821 0.811516 0
-0.337821 0.819516 1
-0.337821 0.827516 0
-0.337821 0.835516 1
-0.337821 0.843516 1
-0.337821 0.851516 1
-0.337821 0.859516 1
-0.337821 0.867516 1
-0.337821 0.875516 1
-0.337821 0.883516 1
-0.337821 0.891516 1
-0.337821 0.899516 0
-0.337821 0.907516 0
-0.337821 0.915516 0
-0.337821 0.923516 0
-0.337821 0.931516 0
-0.337821 0.939516 0
-0.329821 0.107516 0
-0.329821 0.115516 0
-0.329821 0.123516 0
-0.329821 0.131516 0
-0.329821 0.139516 0
-0.329821 0.147516 0
-0.329821 0.155516 0
-0.329821 0.163516 0
-0.329821 0.171516 1
-0.329821 0.179516 1
-0.329821 0.187516 1
-0.329821 0.195516 1
-0.329821 0.203516 1
-0.329821 0.211516 0
-0.329821 0.219516 1
-0.329821 0.227516 0
-0.329821 0.235516 1
-0.329821 0.243516 0
-0.329821 0.251516 0
-0.329821 0.259516 0
-0.329821 0.267516 0
-0.329821 0.275516 0
-0.329821 0.283516 0
-0.329821 0.291516 1
-0.329821 0.299516 1
-0.329821 0.307516 1
-0.329821 0.315516 1
-0.329821 0.323516 1
-0.329821 0.331516 1
-0.329821 0.339516 1
-0.329821 0.347516 0
-0.329821 0.355516 0
-0.329821 0.363516 0
-0.329821 0.371516 0
-0.329821 0.379516 0
-0.329821 0.387516 0
-0.329821 0.395516 0
-0.329821 0.403516 0
-0.329821 0.411516 1
-0.329821 0.419516 1
-0.329821 0.427516 1
-0.329821 0.435516 1
-0.329821 0.443516 1
-0.329821 0.451516 1
-0.329821 0.459516 1
-0.329821 0.467516 0
-0.329821 0.475516 0
-0.329821 0.483516 0
-0.329821 0.491516 0
-0.329821 0.499516 0
-0.329821 0.507516 0
-0.329821 0.515516 0
-0.329821 0.523516 1
-0.329821 0.531516 1
-0.329821 0.539516 0
-0.329821 0.547516 1
-0.329821 0.555516 1
-0.329821 0.563516 1
-0.329821 0.571516 1
-0.329821 0.579516 1
-0.329821 0.587516 0
-0.329821 0.595516 0
-0.329821 0.603516 1
-0.329821 0.611516 0
-0.329821 0.619516 1
-0.329821 0.627516 0
-0.329821 0.635516 0
-0.329821 0.643516 0
-0.329821 0.651516 0
-0.329821 0.659516 0
-0.329821 0.667516 0
-0.329821 0.675516 0
-0.329821 0.683516 0
-0.329821 0.691516 1
-0.329821 0.699516 0
-0.329821 0.707516 1
-0.329821 0.715516 1
-0.329821 0.723516 1
-0.329821 0.731516 1
-0.329821 0.739516 0
-0.329821 0.747516 0
-0.329821 0.755516 0
-0.329821 0.763516 1
-0.329821 0.771516 1
-0.329821 0.779516 0
-0.329821 0.787516 1
-0.329821 0.795516 0
-0.329821 0.803516 0
-0.329821 0.811516 1
-0.329821 0.819516 1
-0.329821 0.827516 1
-0.329821 0.835516 1
-0.329821 0.843516 1
-0.329821 0.851516 1
-0.329821 0.859516 1
-0.329821 0.867516 1
-0.329821 0.875516 1
-0.329821 0.883516 1
-0.329821 0.891516 1
-0.329821 0.899516 0
-0.329821 0.907516 0
-0.329821 0.915516 0
-0.329821 0.923516 0
-0.329821 0.931516 0
-0.329821 0.939516 0
-0.321821 0.107516 0
-0.321821 0.115516 0
-0.321821 0.123516 0
-0.321821 0.131516 0
-0.321821 0.139516 0
-0.321821 0.147516 0
-0.321821 0.155516 0
-0.321821 0.163516 0
-0.321821 0.171516 1
-0.321821 0.179516 1
-0.321821 0.187516 1
-0.321821 0.195516 1
-0.321821 0.203516 1
-0.321821 0.211516 1
-0.321821 0.219516 1
-0.321821 0.227516 0
-0.321821 0.235516 0
-0.321821 0.243516 1
-0.321821 0.251516 1
-0.321821 0.259516 1
-0.321821 0.267516 1
-0.321821 0.275516 0
-0.321821 0.283516 0
-0.321821 0.291516 0
-0.321821 0.299516 1
-0.321821 0.307516 1
-0.321821 0.315516 1
-0.321821 0.323516 1
-0.321821 0.331516 0
-0.321821 0.339516 1
-0.321821 0.347516 0
-0.321821 0.355516 1
-0.321821 0.363516 1
-0.321821 0.371516 1
-0.321821 0.379516 1
-0.321821 0.387516 1
-0.321821 0.395516 0
-0.321821 0.403516 0
-0.321821 0.411516 0
-0.321821 0.419516 0
-0.321821 0.427516 0
-0.321821 0.435516 1
-0.321821 0.443516 1
-0.321821 0.451516 0
-0.321821 0.459516 0
-0.321821 0.467516 1
-0.321821 0.475516 0
-0.321821 0.483516 0
-0.321821 0.491516 1
-0.321821 0.499516 1
-0.321821 0.507516 1
-0.321821 0.515516 1
-0.321821 0.523516 1
-0.321821 0.531516 1
-0.321821 0.539516 1
-0.321821 0.547516 1
-0.321821 0.555516 0
-0.321821 0.563516 1
-0.321821 0.571516 1
-0.321821 0.579516 1
-0.321821 0.587516 1
-0.321821 0.595516 0
-0.321821 0.603516 1
-0.321821 0.611516 1
-0.321821 0.619516 1
-0.321821 0.627516 0
-0.321821 0.635516 1
-0.321821 0.643516 1
-0.321821 0.651516 1
-0.321821 0.659516 1
-0.321821 0.667516 1
-0.321821 0.675516 0
-0.321821 0.683516 1
-0.321821 0.691516 1
-0.321821 0.699516 0
-0.321821 0.707516 1
-0.321821 0.715516 1
-0.321821 0.723516 1
-0.321821 0.731516 1
-0.321821 0.739516 0
-0.321821 0.747516 1
-0.321821 0.755516 0
-0.321821 0.763516 0
-0.321821 0.771516 1
-0.321821 0.779516 1
-0.321821 0.787516 1
-0.321821 0.795516 1
-0.321821 0.803516 1
-0.321821 0.811516 1
-0.321821 0.819516 1
-0.321821 0.827516 0
-0.321821 0.835516 1
-0.321821 0.843516 1
-0.321821 0.851516 1
-0.321821 0.859516 1
-0.321821 0.867516 1
-0.321821 0.875516 1
-0.321821 0.883516 1
-0.321821 0.891516 1
-0.321821 0.899516 0
-0.321821 0.907516 0
-0.321821 0.915516 0
-0.321821 0.923516 0
-0.321821 0.931516 0
-0.321821 0.939516 0
-0.313821 0.107516 0
-0.313821 0.115516 0
-0.313821 0.123516 0
-0.313821 0.131516 0
-0.313821 0.139516 0
-0.313821 0.147516 0
-0.313821 0.155516 0
-0.313821 0.163516 0
-0.313821 0.171516 1
-0.313821 0.179516 1
-0.313821 0.187516 1
-0.313821 0.195516 1
-0.313821 0.203516 0
-0.313821 0.211516 0
-0.313821 0.219516 1
-0.313821 0.227516 0
-0.313821 0.235516 1
-0.313821 0.243516 1
-0.313821 0.251516 1
-0.313821 0.259516 1
-0.313821 0.267516 1
-0.313821 0.275516 1
-0.313821 0.283516 0
-0.313821 0.291516 1
-0.313821 0.299516 1
-0.313821 0.307516 1
-0.313821 0.315516 0
-0.313821 0.323516 1
-0.313821 0.331516 1
-0.313821 0.339516 1
-0.313821 0.347516 1
-0.313821 0.355516 1
-0.313821 0.363516 1
-0.313821 0.371516 1
-0.313821 0.379516 1
-0.313821 0.387516 1
-0.313821 0.395516 1
-0.313821 0.403516 0
-0.313821 0.411516 1
-0.313821 0.419516 1
-0.313821 0.427516 1
-0.313821 0.435516 1
